horizon,yO,lO,cO,gO,tauO,bO_due,spreadO,qO,dO_prob,yP,lP,cP,gP,tauP,bP_due,spreadP,qP,dP_prob,CL,mu_L,dO,dP,bOp_val,bPp_val,repayO,repayP,purchO,purchP,eff_zO,eff_zP
-8,0.876693,0.832542,0.579707,0.216588,0.386037,0.144060,58.745765,0.989730,0.002774,0.559829,0.718299,0.372291,0.141147,0.380666,0.076617,66.029855,0.968539,0.000949,0.801954,1.789018,0.000000,0.001754,0.141504,0.078421,0.144060,0.076391,0.140814,0.077684,0.959023,1.002428
-7,0.874680,0.831538,0.577477,0.216477,0.387218,0.141504,64.090164,0.989809,0.002056,0.558648,0.715678,0.368125,0.139044,0.388901,0.078421,72.721014,0.967950,0.003695,0.805716,1.761056,0.000000,0.001754,0.138797,0.076541,0.141504,0.078195,0.138148,0.075836,0.957581,1.001077
-6,0.867407,0.831495,0.577726,0.217712,0.380344,0.138797,62.110545,0.988253,0.002639,0.558927,0.716983,0.370041,0.140023,0.384390,0.076541,69.386854,0.965269,0.002267,0.798100,1.810120,0.000000,0.003509,0.142406,0.076241,0.138797,0.076090,0.141318,0.075468,0.952309,1.001599
-5,0.861440,0.830076,0.574423,0.216434,0.378733,0.142406,61.836446,0.989226,0.002803,0.559810,0.718160,0.372161,0.141115,0.381203,0.076241,67.926742,0.969934,0.003879,0.795656,1.825424,0.000000,0.000000,0.146466,0.078271,0.142406,0.076241,0.145476,0.077515,0.948017,1.002288
-4,0.856009,0.828594,0.571123,0.215491,0.377658,0.146466,51.125452,0.991479,0.003622,0.558975,0.716620,0.369684,0.139949,0.385822,0.078271,55.745108,0.979423,0.007384,0.797120,1.805428,0.000000,0.007018,0.150602,0.077143,0.146466,0.077293,0.150057,0.076583,0.944063,1.001313
-3,0.852442,0.832414,0.579220,0.219766,0.361851,0.150602,52.688840,0.991731,0.003399,0.558521,0.717144,0.370463,0.140354,0.382689,0.077143,58.324541,0.976701,0.002953,0.785093,1.883418,0.000000,0.003509,0.165940,0.077444,0.150602,0.076617,0.165157,0.076968,0.941479,1.000745
-2,0.846517,0.834889,0.584550,0.223164,0.347816,0.165940,29.844635,0.996629,0.005403,0.558791,0.717178,0.370670,0.140473,0.383298,0.077444,32.992941,0.982978,0.005260,0.775087,1.947613,0.000000,0.007018,0.190752,0.076917,0.165940,0.076617,0.190508,0.076962,0.937130,1.001185
-1,0.835662,0.851787,0.620575,0.242945,0.283763,0.190752,16.125980,1.004303,0.015707,0.558602,0.715987,0.368919,0.139499,0.388417,0.076917,15.956737,0.988668,0.008533,0.730496,2.263773,0.000000,0.017544,0.260902,0.072256,0.190752,0.074887,0.262104,0.073039,0.929187,1.001649
0,0.700153,0.797882,0.508259,0.191894,0.377551,0.260902,0.562685,1.023760,0.225653,0.560021,0.716499,0.369388,0.139621,0.387540,0.072256,0.000828,1.025767,0.000022,0.801945,1.746337,1.000000,0.000000,0.000000,0.066917,0.000000,0.072256,0.000000,0.070310,0.877152,1.002617
1,0.730871,0.808353,0.529491,0.201009,0.362675,0.000000,133.080998,0.197743,0.000000,0.559671,0.714974,0.367200,0.138530,0.392696,0.066917,172.282592,0.957429,0.001632,0.793538,1.801220,0.000000,0.001754,0.011278,0.064211,0.000000,0.066767,0.010400,0.062829,0.889992,1.002027
2,0.755234,0.815660,0.544530,0.207579,0.354422,0.011278,171.510872,0.355818,0.000002,0.559618,0.713954,0.365392,0.137681,0.395936,0.064211,211.360438,0.952952,0.000279,0.788676,1.840168,0.000000,0.000000,0.030000,0.060301,0.011278,0.064211,0.028268,0.058545,0.900207,1.001801
3,0.774663,0.818191,0.549591,0.209290,0.358844,0.030000,167.423765,0.477372,0.000282,0.559766,0.716508,0.369530,0.139763,0.386645,0.060301,208.140575,0.955562,0.004746,0.786911,1.849072,0.000000,0.001754,0.046316,0.060451,0.030000,0.060000,0.044446,0.058643,0.908790,1.001893
4,0.792428,0.822328,0.558139,0.212599,0.358074,0.046316,163.651237,0.569848,0.000590,0.558927,0.718035,0.371970,0.141102,0.379878,0.060451,195.015473,0.955371,0.001892,0.782850,1.879320,0.000000,0.001754,0.063835,0.063835,0.046316,0.060226,0.061665,0.062027,0.917407,1.001016
5,0.807147,0.824128,0.561891,0.213231,0.362585,0.063835,149.625430,0.659216,0.000612,0.557973,0.717051,0.370338,0.140047,0.381847,0.063835,174.481878,0.958745,0.003497,0.787104,1.863472,0.003509,0.003509,0.077519,0.065564,0.063008,0.063534,0.075536,0.063902,0.924218,0.999937
6,0.816461,0.823929,0.561511,0.213103,0.369549,0.077519,127.090305,0.708139,0.001883,0.557281,0.717018,0.370248,0.140326,0.380899,0.065564,150.353254,0.960759,0.005366,0.790586,1.831059,0.000000,0.005263,0.087594,0.067368,0.077519,0.065038,0.086005,0.065966,0.928623,0.999261
7,0.831262,0.829197,0.572666,0.217053,0.363373,0.087594,138.835012,0.782248,0.002638,0.558138,0.716694,0.369946,0.139826,0.383978,0.067368,157.377414,0.957517,0.002531,0.787689,1.861947,0.001754,0.003509,0.101579,0.068195,0.087218,0.066992,0.099794,0.066727,0.935919,1.000337
8,0.838459,0.826341,0.566871,0.213360,0.378339,0.101579,112.389038,0.817044,0.001937,0.557493,0.716826,0.369971,0.140198,0.381991,0.068195,122.881256,0.961414,0.003815,0.796930,1.805306,0.003509,0.003509,0.104962,0.069323,0.100827,0.067669,0.103423,0.068143,0.939673,0.999576
